>gi|228288719|ref|NC_012624.1| Sulfolobus islandicus Y.N.15.51 plasmid pYN01, complete sequence
553	954	-	1	1.360285	I:770,	D:781,
995	2487	+	2	1.337750	I:2336,2392,	D:1194,1443,1809,
3198	4588	+	3	1.293051	I:	D:3442,
4908	6133	+	3	1.352158	I:	D:6072,
6145	6432	-	1	1.359606	I:	D:
6438	6957	-	3	1.340092	I:6740,	D:
7145	8958	-	2	1.329604	I:7700,7988,	D:7490,8466,8637,
9034	9156	-	1	1.233793	I:	D:
9271	10937	+	1	1.409439	I:9849,10849,	D:
11118	11273	-	3	1.281141	I:	D:
11394	11675	+	3	1.296305	I:	D:
11785	12968	+	1	1.393843	I:	D:12418,
13406	13744	-	2	1.293113	I:	D:
13878	14015	+	3	1.235846	I:	D:
14143	14298	+	1	1.228734	I:	D:
14609	17891	-	2	1.308595	I:16347,	D:
17911	20202	-	1	1.297366	I:	D:
21471	21934	+	3	1.291471	I:	D:21925,
21939	25542	-	3	1.341758	I:24995,25013,25098,25451,	D:
25638	26078	+	3	1.279607	I:	D:
26141	26333	-	2	1.393669	I:26186,	D:
26376	26891	+	3	1.335717	I:	D:
26900	27055	-	2	1.300504	I:	D:
27190	27840	-	1	1.328401	I:	D:
27981	28589	+	3	1.350864	I:	D:
28594	30099	-	1	1.349139	I:	D:
30399	31335	+	3	1.395972	I:31283,	D:
31343	32438	-	2	1.404864	I:31404,31705,31719,32367,	D:
32517	33587	-	3	1.430415	I:32775,33501,	D:32630,32836,
33716	35452	-	2	1.331195	I:	D:33780,33911,35185,
35540	35839	+	2	1.312740	I:	D:
36015	36632	-	3	1.325731	I:	D:
36776	37285	+	2	1.390112	I:37106,	D:37015,
37373	39506	+	2	1.330723	I:39230,	D:
39523	40130	-	1	1.317830	I:	D:39542,
40222	42245	-	1	1.324844	I:	D:
